source,target
TNFA SIGNALING VIA NFKB,JUNB
TNFA SIGNALING VIA NFKB,CXCL2
TNFA SIGNALING VIA NFKB,ATF3
TNFA SIGNALING VIA NFKB,NFKBIA
TNFA SIGNALING VIA NFKB,TNFAIP3
TNFA SIGNALING VIA NFKB,PTGS2
TNFA SIGNALING VIA NFKB,CXCL1
TNFA SIGNALING VIA NFKB,IER3
TNFA SIGNALING VIA NFKB,CD83
TNFA SIGNALING VIA NFKB,CCL20
TNFA SIGNALING VIA NFKB,CXCL3
TNFA SIGNALING VIA NFKB,MAFF
TNFA SIGNALING VIA NFKB,NFKB2
TNFA SIGNALING VIA NFKB,TNFAIP2
TNFA SIGNALING VIA NFKB,HBEGF
TNFA SIGNALING VIA NFKB,KLF6
TNFA SIGNALING VIA NFKB,BIRC3
TNFA SIGNALING VIA NFKB,PLAUR
TNFA SIGNALING VIA NFKB,ZFP36
TNFA SIGNALING VIA NFKB,ICAM1
TNFA SIGNALING VIA NFKB,JUN
TNFA SIGNALING VIA NFKB,EGR3
TNFA SIGNALING VIA NFKB,IL1B
TNFA SIGNALING VIA NFKB,BCL2A1
TNFA SIGNALING VIA NFKB,PPP1R15A
TNFA SIGNALING VIA NFKB,ZC3H12A
TNFA SIGNALING VIA NFKB,SOD2
TNFA SIGNALING VIA NFKB,NR4A2
TNFA SIGNALING VIA NFKB,IL1A
TNFA SIGNALING VIA NFKB,RELB
TNFA SIGNALING VIA NFKB,TRAF1
TNFA SIGNALING VIA NFKB,BTG2
TNFA SIGNALING VIA NFKB,DUSP1
TNFA SIGNALING VIA NFKB,MAP3K8
TNFA SIGNALING VIA NFKB,ETS2
TNFA SIGNALING VIA NFKB,F3
TNFA SIGNALING VIA NFKB,SDC4
TNFA SIGNALING VIA NFKB,EGR1
TNFA SIGNALING VIA NFKB,IL6
TNFA SIGNALING VIA NFKB,TNF
TNFA SIGNALING VIA NFKB,KDM6B
TNFA SIGNALING VIA NFKB,NFKB1
TNFA SIGNALING VIA NFKB,LIF
TNFA SIGNALING VIA NFKB,PTX3
TNFA SIGNALING VIA NFKB,FOSL1
TNFA SIGNALING VIA NFKB,NR4A1
TNFA SIGNALING VIA NFKB,JAG1
TNFA SIGNALING VIA NFKB,CCL4
TNFA SIGNALING VIA NFKB,GCH1
TNFA SIGNALING VIA NFKB,CCL2
TNFA SIGNALING VIA NFKB,RCAN1
TNFA SIGNALING VIA NFKB,DUSP2
TNFA SIGNALING VIA NFKB,EHD1
TNFA SIGNALING VIA NFKB,IER2
TNFA SIGNALING VIA NFKB,REL
