name,leidens,markers
AS_stress,0,
AS_GM,5,CABLES1;BRINP3;GPC5
AS_Homeo,4;8,SLC24A4;ALDH1A1;ADAMTSL3
AS_TC,1,MOXD1;FRMPD2
AS_C,11,ADGB;SPAG17;FOXJ1
AS_R,7,APOE;FTL;VIM
AS_Dis1,2;3;13,RASGEF1B;SHISA9;RFTN1
AS_Dis2,6,LRRTM4;PRUNE2
AS_Dis3,12,MANBA;IQCM;ERC2
AS_Phago,9;10,ELMO1;ANK3
OL_NA,1,
OL_Homeo1,0,LINC01608;PLXDC2;DYSF
OL_Homeo2,2,AC090015.1;AATK
OL_Homeo3,5,RASGRF1;AFF3;RBFOX1
OL_Dis1,3;6,AMER2;RHOBTB3;DCC;HSPA1A
OL_Dis2,7,CAMK2D;FGFR1;NGFR
OL_Dis3,4,MDGA2;CNTN1;FRY;MBP;PLP1
OL_R,8,CNP;CRYAB;CLDN11
OPC_Homeo,0;2;3;12,MMD2;MIR3681HG;ITGA8
OPC_PreOPC,9,DLC1;NRXN3;VIM
OPC_COP,7,TRAK2;GPR17;BCAS1
OPC_Stress,8,MT-CO2;MT-ND4;MT-ND5
OPC_Dis1,5,ANKRD10;CAMK2D;TPST1;SNED1
OPC_Dis2,1;4;11,RALYL;CDH18;KCNMB2-AS1;TAFA1
OPC_Mature,10,SOX2;CLDN11;SOX10
OPC_PreOL,6,MOBP;CTNNA3;PEX5L
MG_NA,8,
MG_Homeo1,0,CX3CR1;P2RY12
MG_Homeo2,1;6,SPP1;ZFPM2-AS1
MG_Homeo3,4;9,MYO1E;PTPRG
MG_CA,7,GPNMB;TNS1
MG_Dis,2,FTL;APOE;C1QA
MG_Rim,5;10,CD163;F13A1;MRC1;FOXP1
MG_Phago1,3,ACSL1;SRGN
EC_Homeo,4,
EC_Pericyte,1;3;7;11,HIGD1B;GRM8;PDGFRB
EC_MyoFibro,9,CEMIP;ABCA9;ACTA2
EC_Arteriole,10,VEGFC;SEMA3G;NOS1
EC_Venule,6,LRRC1;ACKR1;TSHZ2
EC_Capillaries,0,ATP10A;TMEM132C;PROM1
EC_IMEC1,12,CD44;CD58;PTPRC
EC_IMEC2,13,FCGRT;LYVE1;STAB1
EC_EL,5,ERBIN;MEIS2;ITGB8
EC_Prolif,2;8,MT1M;VIM;IFI27
SC_MSCs,2,DCN;COL1A2;TAGLN
SC_Fibrocyte,7,PTPRC;ITGAM;FGF10
SC_Fibroblast1,6,IFIT3;TRDMT1;PRRT2
SC_Fibroblast2,8,CEMIP2;AFG3L2;FBXO31
SC_Fibroblast3,0,FAR2;CALCRL;CMC1
SC_FibroMyo1,5,ANKRD40;TMX2;USP4
SC_FibroMyo2,1,CDH20;NALCN;AKAP6
SC_FibroInfl,3,CUX1;NFKBIZ;SDK1
SC_PerivFibro,4,CDH5;EFEMP1;COL4A4
TC_NA,6,
TC_Treg,11,FOXP3;RTKN2;IL2RA;IKZF2
TC_Trm,1;3;4,ITGAE;IL7R;ITGA1
TC_Prolif,10,LARS2;TEX9
TC_Exhausted,8,PDCD1;WDR83OS;TCF7
TC_Effector,0;2;5;9,GZMK;LGR6;GZMA
TC_DNTCyt,13,IL4R;HLA-DRB1;FASLG
TC_NKCyt,12,GNLY;NCR1;PRF1
TC_NKT,7,CD28;SLAMF1;TRAF2;C1RL
BC_NA,5,
BC_Resting,2;6,CD19;PAX5;CD79B
BC_Memory1,4,TBCEL;PTPRG;CD27
BC_Memory2,1,IGHG1;IGHG3;TMEM258
BC_MZB,7,IGHM;S1PR1;IGHA1;ARMC2
BC_Plasma,3,PTPRC;BCR;CD38;SDC1
BC_Activated,0,NFKBIA;DNM2;ARHGDIB;CRTC1
NEU_NA,3;11;23;24,
NEU_EX,0;1;20,SV2B
NEU_L2/3.IT,2,LINC00507;CUX2
NEU_L4.IT-lin,9;19,RORB;LINC01202
NEU_L4.IT-lr,12,LRRK1
NEU_L4/L6.IT,5,ARHGEF28
NEU_L5/6.1,8;13;16,ADAMTSL1;LINC01776;CCN2
NEU_L5/6.2,22,SEMA3E;HTR2C
NEU_L6.IT,4,THEMIS;NTNG2
NEU_Hippo.CA1,15,BHLHE22
NEU_IN.VIP,6,GAD1;VIP
NEU_IN.PAVLB,7;10,PVALB;MYO5B
NEU_IN.Lamp5,14;17,KIT;CA8
NEU_IN.SST,25,SST
NEU_Striatum,18;21,GNG7;DACH1;SV2C
