cell_type,gene
OL,MOG
OL,ST18
OL,MOBP
OPC,PDGFRA
OPC,PTPRZ1
OPC,PCDH15
AS,GFAP
AS,ADCY2
AS,AQP4
TC,PARP8
TC,SKAP1
TC,PRKCH
BC,IGHG1
BC,IGKC
BC,FCRL5
MG,LRMDA
MG,ARHGAP24
MG,TBXAS1
EC,FLT1
EC,CLDN5
EC,VWF
SC,LAMA2
SC,CEMIP
SC,ABCA9
NEU,SYT1
NEU,SV2B
NEU,NRGN
